quadkey,avg_d_mbps,avg_u_mbps,avg_lat_ms,tests,devices,DISTRITO,year,quarter,year_quarter,date
2100300121202033,39.338,7.386,18,478,56,SANTIAGO DE SURCO,2019,1,2019Q1,2019-01-01
2100300121202222,26.534,6.529,26,171,40,SANTIAGO DE SURCO,2019,1,2019Q1,2019-01-01
2100300120331133,23.96,4.519,16,225,32,SANTIAGO DE SURCO,2019,1,2019Q1,2019-01-01
2100300120313331,23.637,4.033,29,235,60,SANTIAGO DE SURCO,2019,1,2019Q1,2019-01-01
2100300121202231,34.316,6.107,17,255,42,SANTIAGO DE SURCO,2019,1,2019Q1,2019-01-01
2100300121202102,37.029,6.83,12,196,37,SANTIAGO DE SURCO,2019,1,2019Q1,2019-01-01
2100300121202233,42.485,8.389,14,158,35,SANTIAGO DE SURCO,2019,1,2019Q1,2019-01-01
2100300120313313,23.584,4.834,27,226,36,SANTIAGO DE SURCO,2019,1,2019Q1,2019-01-01
2100300121222001,13.053,4.088,15,64,6,SANTIAGO DE SURCO,2019,1,2019Q1,2019-01-01
2100300120331121,20.227,4.718,11,289,28,SANTIAGO DE SURCO,2019,1,2019Q1,2019-01-01
2100300120331101,29.05,6.642,13,141,37,SANTIAGO DE SURCO,2019,1,2019Q1,2019-01-01
2100300121202211,28.816,4.759,31,251,37,SANTIAGO DE SURCO,2019,1,2019Q1,2019-01-01
2100300121202230,28.07,6.292,14,314,79,SANTIAGO DE SURCO,2019,1,2019Q1,2019-01-01
2100300120333100,17.245,3.966,17,96,15,SANTIAGO DE SURCO,2019,1,2019Q1,2019-01-01
2100300121220202,20.476,5.502,18,194,27,SANTIAGO DE SURCO,2019,1,2019Q1,2019-01-01
2100300120331100,39.209,5.131,19,129,41,SANTIAGO DE SURCO,2019,1,2019Q1,2019-01-01
2100300121222000,20.852,4.568,14,71,17,SANTIAGO DE SURCO,2019,1,2019Q1,2019-01-01
2100300121202003,27.831,5.469,18,183,56,SANTIAGO DE SURCO,2019,1,2019Q1,2019-01-01
2100300121202203,35.445,5.739,35,280,66,SANTIAGO DE SURCO,2019,1,2019Q1,2019-01-01
2100300121220023,26.487,4.497,40,413,47,SANTIAGO DE SURCO,2019,1,2019Q1,2019-01-01
2100300121220030,23.394,4.068,16,148,15,SANTIAGO DE SURCO,2019,1,2019Q1,2019-01-01
2100300121202210,22.087,3.765,19,153,40,SANTIAGO DE SURCO,2019,1,2019Q1,2019-01-01
2100300121202310,43.158,23.348,10,184,36,SANTIAGO DE SURCO,2019,1,2019Q1,2019-01-01
